문서 이름,Assignee,검토자,상태,생성 일시,생성자,최종 업데이트 시간,최종 편집자:,카테고리
A. 전투 시스템,,,진행 중,2026년 5월 16일 오전 6:38,Teje,2026년 8월 5일 오후 5:41,Teje,게임 시스템
B. 게임 흐름도,,,완료,2026년 5월 16일 오전 6:44,Teje,2026년 8월 3일 오전 2:18,Teje,게임 개요
C. 카드 및 세트 시스템,,,진행 중,2026년 5월 16일 오전 6:44,Teje,2026년 6월 23일 오전 5:00,Teje,게임 시스템
B. 캐릭터 시스템,,,완료,2026년 5월 16일 오전 6:44,Teje,2026년 8월 3일 오전 1:53,Teje,게임 시스템
D. 적/보스 시스템,,,완료,2026년 5월 16일 오전 6:44,Teje,2026년 8월 3일 오전 1:53,Teje,게임 시스템
E. 맵/스테이지 시스템,,,완료,2026년 5월 16일 오전 6:46,Teje,2026년 8월 3일 오전 2:16,Teje,게임 시스템
A. 시작 및 설정 UI,,,시작 전,2026년 5월 16일 오전 6:49,Teje,2026년 8월 3일 오전 2:20,Teje,UI/UX
B. 인게임 UI,,,시작 전,2026년 5월 16일 오전 6:49,Teje,2026년 5월 16일 오전 7:46,Teje,UI/UX
A. 일반형 캐릭터,,,시작 전,2026년 5월 16일 오전 7:50,Teje,2026년 8월 3일 오전 2:19,Teje,캐릭터
카드목록,,,진행 중,2026년 5월 17일 오전 12:53,Seongmin Lee,2026년 5월 25일 오후 10:43,Seongmin Lee,카드
몹 패턴,,,완료,2026년 5월 17일 오전 1:19,Teje,2026년 8월 3일 오전 1:53,Teje,적 및 맵 패턴
A. 게임 플레이 요약,,,진행 중,2026년 6월 23일 오전 4:24,Teje,2026년 8월 3일 오전 2:17,Teje,게임 개요
맵 목록,,,진행 중,2026년 8월 3일 오전 1:58,Teje,2026년 8월 5일 오후 5:42,Teje,맵/스테이지 목록
B. 기믹형 캐릭터,,,시작 전,2026년 8월 3일 오전 2:18,Teje,2026년 8월 3일 오전 2:19,Teje,캐릭터
