이름,큰 카테고리,작은 카테고리,카드군,희귀도,카테고리,키워드/태그,사용타입,코스트
횡베기,냉병기,근접,검술,일반,공격,기본,즉발,20
종베기,냉병기,근접,검술,일반,공격,기본,즉발,20
찌르기,냉병기,근접,검술,일반,공격,방관,즉발,15
칼등 치기,냉병기,근접,검술,일반,공격,넉백,즉발,15
흘려 찌르기,냉병기,근접,검술,일반,공격,반격,"즉발, 패링",30
자세,냉병기,근접,검술,일반,지원,버프,즉발,20
튕겨내기,냉병기,근접,검술,희귀,공격,반격,즉발,35
발도,냉병기,근접,검술,희귀,공격,반격,캐스팅,50
검기,냉병기,근접,검술,희귀,공격,기본,즉발,25
내려찍기,냉병기,근접,검술,희귀,공격,이동,즉발,35
털어내기,냉병기,근접,검술,희귀,지원,코스트 회복,즉발,10
광역 검기,냉병기,근접,검술,특급,공격,,"즉발, 캐스팅",40
종 가르기,냉병기,근접,검술,특급,공격,,즉발,50
간파난타,냉병기,근접,검술,특급,공격,"반격, 이동","즉발, 패링",30
납도,냉병기,근접,검술,특급,지원,,즉발,15
운족법,냉병기,근접,검술,전설,지원,,즉발,45
대검투하,냉병기,근접,검술,전설,"공격, 판도",,"즉발, 캐스팅",80
연속 참격,냉병기,근접,검술,전설,공격,,홀드,60
창찌르기,냉병기,근접,창술,일반,공격,,즉발,50
창휘두르기,냉병기,근접,창술,일반,공격,,즉발,35
흘려 찌르기,냉병기,근접,창술,일반,공격,"반격, 방관",즉발,20
돌진 찌르기,냉병기,근접,창술,일반,공격,"넉백, 이동",홀드,40
테새 대비,냉병기,근접,창술,일반,판도,소환,즉발,40
척후,냉병기,근접,창술,일반,지원,,즉발,25
"창 연속 찌르기 ",냉병기,근접,창술,희귀,공격,넉백,홀드,70
모순,냉병기,근접,창술,희귀,"공격, 지원",방어,즉발,40
걸어 빼앗기,냉병기,근접,창술,희귀,공격,"넉백, 디버프",즉발,20
투창,냉병기,근접,창술,희귀,공격,,홀드,35
방진 세우기,냉병기,근접,창술,희귀,판도,소환,즉발,50
창기병의 돌진,냉병기,근접,창술,특급,공격,"방관, 이동",홀드,70
대차륜,냉병기,근접,창술,특급,공격,"넉백, 이동",홀드,70
파이크와 총,냉병기,근접,창술,특급,지원,버프,즉발,15
대전차 창술,냉병기,근접,창술,특급,공격,"디버프, 방관, 이동",즉발,40
테스투도,냉병기,근접,창술,전설,판도,"반격, 방어",,60
팔랑크스,냉병기,근접,창술,전설,"공격, 판도",소환,즉발,70
장판파,냉병기,근접,창술,전설,"지원, 판도",,,
휘둘러치기,냉병기,근접,둔기,일반,공격,,,
내리치기,냉병기,근접,둔기,일반,공격,,,
방패부수기,냉병기,근접,둔기,일반,공격,,,
홈런,냉병기,근접,둔기,일반,공격,,,
편곤 치기,냉병기,근접,둔기,일반,공격,,,
도리깨 타격,냉병기,근접,둔기,일반,공격,,,
도끼투척,냉병기,근접,둔기,희귀,,,,
벼리기,냉병기,근접,둔기,희귀,,,,
바보의 몽둥이,냉병기,근접,둔기,희귀,공격,"넉백, 자해",,
갈고리,냉병기,근접,둔기,희귀,공격,,,
철퇴,냉병기,근접,둔기,희귀,,,,
지면 강타,냉병기,근접,둔기,특급,공격,,,
참호 강습병,냉병기,근접,둔기,특급,지원,"버프, 이동",즉발,
전쟁 망치,냉병기,근접,둔기,특급,지원,소환,,
앵커링,냉병기,근접,둔기,특급,,"넉백, 방어, 이동",,
배터링 램,냉병기,근접,둔기,전설,공격,,,
묠니르,냉병기,근접,둔기,전설,,,,
"충각 ",냉병기,근접,둔기,전설,,,,
화염구,원소,자연 원소,불,일반,,,,
속성 : 불 부여,원소,자연 원소,불,일반,,,,
화염창,원소,자연 원소,불,일반,,,,
불꽃 튀기기,원소,자연 원소,불,일반,공격,"기본, 디버프",즉발,15
불길 쇄도,원소,자연 원소,불,희귀,"공격, 지원","디버프, 이동",즉발,30
화염구,원소,자연 원소,불,희귀,공격,"넉백, 디버프",캐스팅,35
열기 방출,원소,자연 원소,불,희귀,지원,"반격, 방어",패링,25
타오르는 무기,원소,자연 원소,불,특급,지원,"버프, 자해",즉발,45
화염 소용돌이,원소,자연 원소,불,특급,"공격, 판도","디버프, 방관",홀드,50
메테오 스트라이크,원소,자연 원소,불,전설,"공격, 판도","넉백, 디버프, 방관",캐스팅,90
정화의 물방울,원소,자연 원소,물,일반,지원,코스트 회복,즉발,10
물 흩뿌리기,원소,자연 원소,물,일반,공격,넉백,즉발,20
흐르는 물결,원소,자연 원소,물,일반,지원,방어,패링,25
물수제비,원소,자연 원소,물,일반,공격,기본,즉발,15
물대포,원소,자연 원소,물,일반,공격,넉백,즉발,20
수호의 물막,원소,자연 원소,물,일반,지원,방어,즉발,15
파도타기,원소,자연 원소,물,희귀,지원,"버프, 이동",즉발,25
역류,원소,자연 원소,물,희귀,공격,반격,패링,30
물구덩이,원소,자연 원소,물,희귀,판도,디버프,즉발,30
워터 슬라이드,원소,자연 원소,물,희귀,"공격, 지원",이동,즉발,30
수압 찌르기,원소,자연 원소,물,희귀,공격,방관,홀드,35
물의 정령 소환,원소,자연 원소,물,특급,판도,"버프, 소환",캐스팅,60
격류의 창,원소,자연 원소,물,특급,공격,"넉백, 방관",캐스팅,55
소용돌이,원소,자연 원소,물,특급,"공격, 판도",디버프,홀드,50
쓰나미,원소,자연 원소,물,전설,"공격, 판도",넉백,캐스팅,70
,,,,,,,,
