이름,사용타입,작은 카테고리,카드군,카테고리,코스트,큰 카테고리,키워드/태그,희귀도
횡베기,즉발,근접,검술,공격,20,냉병기,기본,일반
종베기,즉발,근접,검술,공격,20,냉병기,기본,일반
찌르기,즉발,근접,검술,공격,15,냉병기,방관,일반
창찌르기,즉발,근접,창술,공격,50,냉병기,,일반
칼등 치기,즉발,근접,검술,공격,15,냉병기,넉백,일반
흘려 찌르기,"즉발, 패링",근접,검술,공격,30,냉병기,반격,일반
튕겨내기,즉발,근접,검술,공격,35,냉병기,반격,희귀
발도,캐스팅,근접,검술,공격,50,냉병기,반격,희귀
내려찍기,즉발,근접,검술,공격,35,냉병기,이동,희귀
화염창,,자연 원소,불,,,원소,,일반
광역 검기,"즉발, 캐스팅",근접,검술,공격,40,냉병기,,특급
검기,즉발,근접,검술,공격,25,냉병기,기본,희귀
종 가르기,즉발,근접,검술,공격,50,냉병기,,특급
간파난타,"즉발, 패링",근접,검술,공격,30,냉병기,"반격, 이동",특급
납도,즉발,근접,검술,지원,15,냉병기,,특급
흘려 찌르기,즉발,근접,창술,공격,20,냉병기,"반격, 방관",일반
돌진 찌르기,홀드,근접,창술,공격,40,냉병기,"넉백, 이동",일반
테새 대비,즉발,근접,창술,판도,40,냉병기,소환,일반
척후,즉발,근접,창술,지원,25,냉병기,,일반
"창 연속 찌르기 ",홀드,근접,창술,공격,70,냉병기,넉백,희귀
모순,즉발,근접,창술,"공격, 지원",40,냉병기,방어,희귀
걸어 빼앗기,즉발,근접,창술,공격,20,냉병기,"넉백, 디버프",희귀
운족법,즉발,근접,검술,지원,45,냉병기,,전설
털어내기,즉발,근접,검술,지원,10,냉병기,코스트 회복,희귀
대검투하,"즉발, 캐스팅",근접,검술,"공격, 판도",80,냉병기,,전설
연속 참격,홀드,근접,검술,공격,60,냉병기,,전설
창휘두르기,즉발,근접,창술,공격,35,냉병기,,일반
자세,즉발,근접,검술,지원,20,냉병기,버프,일반
투창,홀드,근접,창술,공격,35,냉병기,,희귀
방진 세우기,즉발,근접,창술,판도,50,냉병기,소환,희귀
창기병의 돌진,홀드,근접,창술,공격,70,냉병기,"방관, 이동",특급
대차륜,홀드,근접,창술,공격,70,냉병기,"넉백, 이동",특급
파이크와 총,즉발,근접,창술,지원,15,냉병기,버프,특급
대전차 창술,즉발,근접,창술,공격,40,냉병기,"디버프, 방관, 이동",특급
테스투도,,근접,창술,판도,60,냉병기,"반격, 방어",전설
팔랑크스,즉발,근접,창술,"공격, 판도",70,냉병기,소환,전설
장판파,,근접,창술,"지원, 판도",,냉병기,,전설
휘둘러치기,,근접,둔기,공격,,냉병기,,일반
내리치기,,근접,둔기,공격,,냉병기,,일반
방패부수기,,근접,둔기,공격,,냉병기,,일반
홈런,,근접,둔기,공격,,냉병기,,일반
편곤 치기,,근접,둔기,공격,,냉병기,,일반
도리깨 타격,,근접,둔기,공격,,냉병기,,일반
철퇴,,근접,둔기,,,냉병기,,희귀
갈고리,,근접,둔기,공격,,냉병기,,희귀
바보의 몽둥이,,근접,둔기,공격,,냉병기,"넉백, 자해",희귀
벼리기,,근접,둔기,,,냉병기,,희귀
도끼투척,,근접,둔기,,,냉병기,,희귀
앵커링,,근접,둔기,,,냉병기,"넉백, 방어, 이동",특급
전쟁 망치,,근접,둔기,지원,,냉병기,소환,특급
참호 강습병,즉발,근접,둔기,지원,,냉병기,"버프, 이동",특급
지면 강타,,근접,둔기,공격,,냉병기,,특급
"충각 ",,근접,둔기,,,냉병기,,전설
묠니르,,근접,둔기,,,냉병기,,전설
배터링 램,,근접,둔기,공격,,냉병기,,전설
화염구,,자연 원소,불,,,원소,,일반
속성 : 불 부여,,자연 원소,불,,,원소,,일반
쓰나미,캐스팅,자연 원소,물,"공격, 판도",70,원소,넉백,전설
수호의 물막,즉발,자연 원소,물,지원,15,원소,방어,일반
물대포,즉발,자연 원소,물,공격,20,원소,넉백,일반
역류,패링,자연 원소,물,공격,30,원소,반격,희귀
파도타기,즉발,자연 원소,물,지원,25,원소,"버프, 이동",희귀
소용돌이,홀드,자연 원소,물,"공격, 판도",50,원소,디버프,특급
수압 찌르기,홀드,자연 원소,물,공격,35,원소,방관,희귀
물수제비,즉발,자연 원소,물,공격,15,원소,기본,일반
흐르는 물결,패링,자연 원소,물,지원,25,원소,방어,일반
물 흩뿌리기,즉발,자연 원소,물,공격,20,원소,넉백,일반
정화의 물방울,즉발,자연 원소,물,지원,10,원소,코스트 회복,일반
워터 슬라이드,즉발,자연 원소,물,"공격, 지원",30,원소,이동,희귀
물구덩이,즉발,자연 원소,물,판도,30,원소,디버프,희귀
격류의 창,캐스팅,자연 원소,물,공격,55,원소,"넉백, 방관",특급
물의 정령 소환,캐스팅,자연 원소,물,판도,60,원소,"버프, 소환",특급
화염 소용돌이,홀드,자연 원소,불,"공격, 판도",50,원소,"디버프, 방관",특급
불꽃 튀기기,즉발,자연 원소,불,공격,15,원소,"기본, 디버프",일반
열기 방출,패링,자연 원소,불,지원,25,원소,"반격, 방어",희귀
화염구,캐스팅,자연 원소,불,공격,35,원소,"넉백, 디버프",희귀
불길 쇄도,즉발,자연 원소,불,"공격, 지원",30,원소,"디버프, 이동",희귀
타오르는 무기,즉발,자연 원소,불,지원,45,원소,"버프, 자해",특급
메테오 스트라이크,캐스팅,자연 원소,불,"공격, 판도",90,원소,"넉백, 디버프, 방관",전설
,,,,,,,,
